DM Sigma Time Sample Downfact
0.00 9.38 21.997315 335959 9
0.00 10.25 22.027893 336426 14
0.00 7.17 22.104696 337599 150
0.00 9.89 22.18006 338750 9
0.00 6.43 22.241018 339681 9
0.00 6.63 22.301911 340611 14
0.00 12.75 22.332423 341077 14
0.00 10.26 22.362804 341541 14
0.00 6.02 22.392923 342001 6
0.00 9.58 22.422911 342459 9
0.00 9.85 22.483542 343385 14
0.00 11.37 22.514054 343851 9
0.00 10.92 22.543976 344308 14
0.00 5.67 22.604738 345236 9
0.00 9.09 22.634988 345698 6
0.00 13.42 22.665631 346166 9
0.00 7.45 22.665958 346171 9
0.00 12.35 22.696339 346635 20
0.00 10.24 22.726786 347100 9
0.00 5.93 22.727113 347105 9
0.00 12.08 22.757429 347568 14
0.00 7.28 22.849423 348973 6
0.00 14.74 22.879804 349437 20
0.00 7.19 22.909857 349896 3
0.00 6.27 22.971536 350838 9
0.00 6.37 23.002179 351306 9
0.00 5.77 23.034196 351795 45
0.00 5.58 23.063726 352246 4
0.00 9.73 23.094435 352715 6
0.00 12.23 23.125208 353185 9
0.00 6.57 23.155917 353654 6
0.00 12.75 23.217923 354601 14
0.00 5.04 23.234881 354860 9
0.00 12.79 23.248827 355073 9
0.00 5.59 23.249155 355078 9
0.00 11.94 23.279077 355535 9
0.00 8.23 23.309524 356000 9
0.00 9.15 23.401387 357403 9
0.00 5.37 23.432357 357876 9
0.00 9.82 23.462607 358338 9
0.00 5.71 23.462935 358343 4
0.00 9.09 23.49325 358806 9
0.00 5.31 23.554536 359742 4
0.00 5.99 23.584917 360206 3
0.00 6.86 23.64594 361138 14
0.00 6.70 23.676518 361605 14
0.00 9.00 23.737738 362540 4
0.00 10.91 23.768839 363015 14
0.00 5.39 23.800071 363492 6
0.00 8.41 23.861292 364427 9
0.00 5.95 23.923101 365371 9
0.00 8.65 23.954137 365845 14
0.00 5.33 23.985304 366321 20
0.00 5.56 24.015881 366788 9
0.00 11.48 24.046262 367252 9
0.00 6.19 24.076905 367720 14
0.00 7.77 24.10722 368183 14
